Group,Team
A,Mexico
A,South Africa
A,Korea Republic
A,FIFA (CZE/DEN/IRL/MKD)
B,Canada
B,FIFA (BIH/ITA/NIR/WAL)
B,Qatar
B,Switzerland
C,Brazil
C,Morocco
C,Haiti
C,Scotland
D,USA
D,Paraguay
D,Australia
D,FIFA (KOS/ROU/SVK/TUR)
E,Germany
E,Curaçao
E,Côte d'Ivoire
E,Ecuador
F,Netherlands
F,Japan
F,FIFA (ALB/POL/SWE/UKR)
F,Tunisia
G,Belgium
G,Egypt
G,IR Iran
G,New Zealand
H,Spain
H,Cabo Verde
H,Saudi Arabia
H,Uruguay
I,France
I,Senegal
I,FIFA (BOL/IRQ/SUR)
I,Norway
J,Argentina
J,Algeria
J,Austria
J,Jordan
K,Portugal
K,FIFA (COD/JAM/NCL)
K,Uzbekistan
K,Colombia
L,England
L,Croatia
L,Ghana
L,Panama
